Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |	DNS SORGENTE, DNS DESTINAZIONE, SNI
10.215.173.1:39575         <-> 10.215.173.2:53                  1       127       1        63       2       190   103,587025000         0,0602	,	,	
10.215.173.1:44325         <-> 23.94.219.121:123                1        76       1        76       2       152   103,651742000         0,0426	,	mailcow2.jonasled.de.,	
10.215.173.1:42220         <-> 10.215.173.2:53                  1       137       1        57       2       194   111,194344000         0,0178	,	,	
10.215.173.1:33577         <-> 23.94.219.121:123                1        76       1        76       2       152   163,729931000         0,0500	,	mailcow2.jonasled.de.,	
10.215.173.1:51660         <-> 23.94.219.121:123                1        76       1        76       2       152   223,806340000         0,0461	,	mailcow2.jonasled.de.,	
10.215.173.1:42883         <-> 10.215.173.2:53                  1       127       1        63       2       190   283,880933000         0,0161	,	,	
10.215.173.1:55006         <-> 108.61.73.244:123                1        76       1        76       2       152   283,902777000         0,1224	,	,	
10.215.173.1:44421         <-> 108.61.73.244:123                1        76       1        76       2       152   344,095998000         1,2579	,	,	
10.215.173.1:22774         <-> 10.215.173.2:53                  1       127       1        63       2       190   405,391373000         0,0406	,	,	
10.215.173.1:33240         <-> 69.89.207.199:123                1        76       1        76       2       152   405,480730000         0,1480	,	ntp2.wiktel.com.,	
10.215.173.1:59750         <-> 69.89.207.199:123                1        76       1        76       2       152   465,665653000         0,1513	,	ntp2.wiktel.com.,	
10.215.173.1:43444         <-> 69.89.207.199:123                1        76       1        76       2       152   525,847609000         0,1487	,	ntp2.wiktel.com.,	
10.215.173.1:51637         <-> 10.215.173.2:53                  1       127       1        63       2       190   586,048742000         0,0155	,	,	
10.215.173.1:44544         <-> 163.237.218.19:123               1        76       1        76       2       152   586,072352000         0,1390	,	ntp3.your.org.,	
10.215.173.1:51856         <-> 163.237.218.19:123               1        76       1        76       2       152   646,248421000         0,1385	,	ntp3.your.org.,	
10.215.173.1:3810          <-> 10.215.173.2:53                  1       127       1        63       2       190   706,410516000         0,0170	,	,	
10.215.173.1:54805         <-> 185.77.225.135:123               1        76       1        76       2       152   706,435421000         0,1870	,	,	
10.215.173.1:36079         <-> 185.77.225.135:123               1        76       1        76       2       152   766,635345000         0,1973	,	,	
10.215.173.1:55005         <-> 185.77.225.135:123               1        76       1        76       2       152   826,875315000         0,1780	,	,	
10.215.173.1:43277         <-> 10.215.173.2:53                  1       127       1        63       2       190   887,133164000         0,0269	,	,	
10.215.173.1:42023         <-> 162.159.200.123:123              1        76       1        76       2       152   887,173105000         0,0407	,	time.cloudflare.com.,	
10.215.173.1:58711         <-> 162.159.200.123:123              1        76       1        76       2       152   977,874322000         0,0354	,	time.cloudflare.com.,	
10.215.173.1:45592         <-> 10.215.173.2:53                  1       143       1        63       2       206   978,486675000         0,0118	,	,	
10.215.173.1:13590         <-> 10.215.173.2:53                  1       137       1        57       2       194   978,989061000         0,0120	,	,	
10.215.173.1:24544         <-> 10.215.173.2:53                  1       144       1        64       2       208   979,062304000         0,0257	,	,	
10.215.173.1:44649         <-> 10.215.173.2:53                  1        98       1        82       2       180   981,365990000         0,0124	,	,	
10.215.173.1:63797         <-> 10.215.173.2:53                  1       147       1        67       2       214   986,383942000         0,0136	,	,	
10.215.173.1:28447         <-> 10.215.173.2:53                  1       154       1        74       2       228   986,481823000         0,0130	,	,	
10.215.173.1:55030         <-> 213.179.208.4:50007              1       102       1       102       2       204   987,875221000         0,0429	,	hosted-by.i3d.net.,	
10.215.173.1:65091         <-> 10.215.173.2:53                  1       153       1        73       2       226   999,637993000         0,0193	,	,	
188.122.93.66:50002        <-> 10.215.173.1:49606               1       102       1       102       2       204  1001,208004000         0,0518	hosted-by.i3d.net.,	,	
10.215.173.1:58732         <-> 10.215.173.2:53                  1       127       1        63       2       190  1038,286886000         0,0215	,	,	
10.215.173.1:37033         <-> 50.205.244.21:123                1        76       1        76       2       152  1038,352055000         0,1274	,	ntp2.doctor.com.,	
10.215.173.1:36280         <-> 50.205.244.21:123                1        76       1        76       2       152  1098,624740000         0,1267	,	ntp2.doctor.com.,	
10.215.173.1:28409         <-> 10.215.173.2:53                  1       137       1        57       2       194  1135,705316000         0,0238	,	,	
